Item_status,Item_ID,Category,Year_est,Warehouse_ID,Location_type,Warehouse_size,Warehouse_type,Item_engage_rate,Item_wt,Sales,Rating
Non-Discounted,AMZ32,Electronics,2019,SIDA,Rural,Medium,"Mega FC",0.10001349999999999,1.26199364861554,10495.3657641382,5
Discounted,BAS42,"Home Entertainment",2022,DEL5,Urban,Medium,"Regional FC",0.008596051,3.07950784584403,2151.98346077715,5
Non-Discounted,SDD28,Apparel,2016,SGAA,Rural,Small,"Mega FC",0.025896485,0.5679997261334151,679.492310355249,5
Non-Discounted,FDL50,"Books, Games & Toys",2014,BLR5,Urban,Large,"Mega FC",0.042277867000000004,0.7034657573695811,207.6083195441,5
Discounted,DRI25,"Smart Home",2015,SATA,Suburban,Small,"Mega FC",0.033970195,2.19286704498239,2380.3679227817197,5
Discounted,FDS52,Apparel,2020,AMD2,Suburban,Small,"Mega FC",0.0055054810000000004,0.279166464634551,649.786580371425,5
Discounted,NCU05,"Home Entertainment",2013,DEL4,Urban,Small,"Specialized Storage",0.09831242100000001,2.26846650233342,5984.065395392619,5
Discounted,NCD30,"Beauty & Personal Care",2015,SATA,Suburban,Small,"Mega FC",0.026903714000000002,0.233681343530647,1091.50374125287,5
Discounted,FDW20,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.024129332,0.8660330247600291,13015.1216333913,5
Discounted,AMZ25,"Books, Games & Toys",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.101561568,0.9939667702181901,439.779310495518,5
Discounted,AMZ21,Household,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.08455456900000001,2.48314148181926,973.2679484799979,5
Discounted,NCU41,"Home Entertainment",2017,BLR7,Suburban,Small,"Mega FC",0.05204497600000001,2.39469304332862,6012.72158889518,5
Discounted,FDL20,Electronics,2022,DEL5,Urban,Medium,"Regional FC",0.128937661,1.27424974216215,9900.645090755499,5
Discounted,NCR54,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.090486828,0.47768082767760806,1232.8348376736299,5
